Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
loadingTipHarvestingCorpses_title,UI,Loading Screen,x,,Harvesting Corpses,,Rohstoffe von Leichen entnehmen,Recolección de cadáveres,Exploiter les cadavres,Raccolta dei cadaveri,残骸の剥ぎ取り,시체 수확,Pozyskiwanie zasobów ze zwłok,Vasculhamento de cadáveres,Сбор с трупов,Ceset Toplama,收集尸体,收屍
loadingTipHarvestingResources,UI,Loading Screen,x,,"Harvest resources such as trees, rocks, and more using your fists with [action:local:Primary]. Tools are much faster and yield higher amounts of resources.",,"Baue Rohstoffe wie Bäume, Steine und vieles mehr ab, indem du mit [action:local:Primary] deine Fäuste einsetzt. Werkzeuge sind allerdings um einiges schneller und bringen dir mehr Rohstoffe ein.","Recolecta recursos como árboles, piedras y otros usando los puños con [action:local:Primary]. Las herramientas son mucho más rápidas y otorgan una mayor cantidad de recursos.",Collectez des ressources comme les arbres ou la pierre à l'aide de vos poings avec [action:local:Primary]. Les outils permettent de collecter les ressources plus rapidement et en plus grande quantité.,"Raccogli risorse come piante, rocce ecc. usando le mani con [action:local:Primary]. Gli utensili ti permettono di raccogliere risorse molto più rapidamente e in quantità maggiore.",木や岩から資源を採取するには、[action:local:Primary]で拳を使います。道具を使えば、更に早く、多くの量の資源を集めることができます。,"[action:local:Primary](으)로 주먹을 사용하여 나무, 바위 등에서 자원을 수집할 수 있습니다. 도구가 있으면 수집 속도와 수확량이 크게 좋아집니다.","Zbieraj zasoby z drzew, kamieni itp., używając pięści za pomocą [action:local:Primary]. Narzędzia pozwalają pracować znacznie szybciej i zapewniają więcej zasobów.","Colete recursos de árvores, pedras e outros elementos usando os punhos com [action:local:Primary]. As ferramentas agilizam o processo e geram mais recursos.","Добывайте ресурсы (например дерево, камни и т. д.) руками — нажимайте [action:local:Primary]. Орудия позволяют ускорить процесс и добыть больше ресурсов.","[action:local:Primary] ile yumruklarını kullanarak ağaçlar, kayalar vb. kaynakları topla. Aletler çok daha hızlıdır ve daha yüksek miktarda kaynak sağlar.",用 [action:local:Primary] 和拳头采集树木、岩石等资源。使用工具速度快得多，而且采集到的资源更多。,使用[action:local:Primary]徒手採集樹木、岩石等資源。不過使用工具會更快速，且可獲得更多資源。
loadingTipHarvestingResources_title,UI,Loading Screen,x,,Harvesting Resources,,Rohstoffe abbauen,Recolección de recursos,Récolte des ressources,Raccolta delle risorse,資源の採取,자원 수확,Zbieranie zasobów,Coleta de recursos,Добыча материалов,Kaynak Toplama,收集资源,收穫資源
loadingTipItemStats,UI,Loading Screen,x,,"To view an item's stats, first select it in your inventory. The inspection window will show item stats, including the effects of installed mods. Learn more about the item by selecting its description tab.\nLearn more about total stats in the Extended Character Stats tip.",,"Um die Werte eines Gegenstands anzuzeigen, wähle ihn zunächst in deinem Inventar aus. Das Übersichtsfenster zeigt die Gegenstandswerte an, einschließlich der Effekte von installierten Mods. Erfahre mehr über den Gegenstand über den Reiter „Beschreibung“.\nErfahre mehr über die Gesamtwerte unten im Tipp für Erweiterte Charakterwerte.","Para ver las estadísticas de un objeto, primero selecciónalo en tu inventario. La ventana de inspección mostrará las estadísticas del objeto, incluidos los efectos y las modificaciones instaladas. Obtén más información sobre el objeto seleccionando su pestaña de descripción.\nObtén más información sobre las estadísticas totales en el consejo de Estadísticas secundarias del personaje.","Pour afficher les statistiques d'un objet, sélectionnez-le dans votre inventaire. La fenêtre qui s'ouvre affiche les stats de l'objet, incluant les effets des modifications installées. Apprenez-en plus sur l'objet en sélectionnant son onglet de description\nApprenez-en plus sur les stats totales dans les astuces des Stats complètes du personnage.","Per visualizzare le statistiche di un oggetto devi prima selezionarlo dal tuo inventario. La finestra di ispezione mostrerà le statistiche dell'oggetto, inclusi gli effetti delle modifiche installate. Scopri di più riguardo l'oggetto selezionandone la scheda descrizione.\nScopri di più riguardo le statistiche totali nel suggerimento Statistiche estese personaggio.",アイテムのステータスを表示するにはまず所持品内でアイテムを選択してください。「調べる」ウィンドウにアイテムのステータスと適用中の改造パーツによる効果が表示されます。アイテムの詳細を見るには「説明」タブを選択してください。\n合計ステータスの詳細はキャラクター総合ステータスのヒントをご覧ください。,아이템 능력치를 보려면 우선 인벤토리에서 선택해야 합니다. 조사 창에 아이템 능력과 장착된 모드 효과가 표시됩니다. 설명 탭을 선택하여 아이템에 대한 자세한 내용을 확인하세요.\n보조 캐릭터 능력치 팁에서 전체 능력치를 확인하세요.,"Aby zobaczyć statystyki przedmiotu, wybierz go w swoim ekwipunku. Okno inspekcji pokaże statystyki przedmiotu, w tym efekty zainstalowanych modyfikacji. Dowiedz się więcej o przedmiocie, wybierając kartę opisu.\nDowiedz się więcej o ogólnych statystykach w poradzie „Rozszerzone statystyki postaci”.","Para ver os atributos de um item, selecione-o no inventário. A janela de inspeção exibirá os atributos do objeto incluindo os efeitos das modificações instaladas. Para ver mais detalhes sobre o item, selecione sua aba de descrição.\nVeja mais informações sobre todos os atributos em Atributos detalhados do personagem.","Чтобы посмотреть параметры предмета, выберите его в инвентаре. В окне отобразятся параметры предмета, включая данные об эффектах установленных модификаций. Выберите вкладку «Описание», чтобы узнать больше о предмете.\nРаздел «Расширенные параметры персонажа» обеспечит подробные сведения о параметрах.","Bir öğenin istatistiklerini görmek için önce onu envanterinde seç. Denetleme penceresi, takılı modların etkileri dâhil olmak üzere öğe istatistiklerini gösterir. Açıklama sekmesini seçerek öğe hakkında daha fazla bilgi edin.\nGenişletilmiş Karakter İstatistikleri ipucunda, toplam istatistikler hakkında daha fazla bilgi edin.",要查看一件物品的属性，先在你的物品栏中选中它。查看窗口将显示物品属性，包括已装备模组的特效。选择描述选项卡可以了解更多有关该物品的信息。\n在“扩展角色属性”提示中可以了解更多整体属性。,如要查看物品的詳細數值，請先在物品欄中選取該物品。你可以在檢視視窗中查看物品屬性，包括已安裝模組的效果。如欲檢視詳情，請選擇該物品的描述標籤。\n總屬性詳情請見延伸角色遊戲統計。
loadingTipItemStats_title,UI,Loading Screen,x,,Items Stats,,Gegenstandswerte,Estadísticas de objetos,Stats d'objets,Statistiche oggetti,アイテムステータス,아이템 능력치,Statystyki przedmiotów,Estatísticas de item,Параметры предмета,Öğe İstatistikleri,物品属性,物品統計
loadingTipJournalEntries,UI,Loading Screen,x,,You can learn how to play the game by reading journal tips signified by the pen icon on the top tool bar.\nPress [action:local:Inventory][action:permanent:Journal] and click on the flashing pen icon to access journal entries.,,"Du kannst lernen, wie man das Spiel spielt, indem du die Tipps im Tagebuch liest, die durch das Stift-Symbol in der oberen Symbolleiste gekennzeichnet sind.\nDrücke [action:local:Inventory][action:permanent:Journal] und klicke auf das blinkende Stift-Symbol, um zu den Tagebucheinträgen zu gelangen.",Puedes aprender a jugar leyendo los consejos de los registros del diario señalados con el ícono de bolígrafo de la barra de herramientas superior.\nPulsa [action:local:Inventory][action:permanent:Journal] y haz clic en el ícono parpadeante de bolígrafo para acceder a los registros del diario.,Lisez les astuces du journal signalées par l'icône de stylo sur la barre d'outils supérieure pour apprendre à jouer.\nAppuyez sur [action:local:Inventory][action:permanent:Journal] puis cliquez sur l'icône de stylo clignotante pour accéder aux entrées du journal.,"Puoi imparare a giocare leggendo i consigli sul diario, indicati dall'icona a forma di penna nella barra degli strumenti in alto.\nPremi [action:local:Inventory][action:permanent:Journal] e clicca sull'icona della penna lampeggiante per accedere alle voci del diario.",ゲーム画面上部のバー上のペンのアイコンで印されているジャーナルのヒントを読むことで、ゲームのプレイ方法を学ぶことができます。\n[action:local:Inventory][action:permanent:Journal]を押して点滅するペンのアイコンをクリックすれば、ジャーナル記録にアクセスすることができます。,상단의 도구 바에 펜 아이콘으로 표시된 일지에 적힌 팁을 읽으며 게임 플레이 방법을 익힐 수 있습니다.\n[action:local:Inventory][action:permanent:Journal]을(를) 누르고 반짝이는 펜 아이콘을 클릭하여 일지 항목을 열어볼 수 있습니다.,"Możesz nauczyć się grać w tę grę, czytając wskazówki z dziennika, które są oznaczone ikoną pióra na górnym pasku narzędzi.\nNaciśnij [action:local:Inventory][action:permanent:Journal] i kliknij migającą ikonę pióra, aby uzyskać dostęp do wpisów do dziennika.","Para aprender a jogar, leia as dicas no diário identificado pelo ícone de caneta na barra de ferramentas superior.\nAperte [action:local:Inventory][action:permanent:Journal] e clique na no ícone de caneta intermitente para acessar os registros do diário.","Научиться играть можно, читая подсказки в журнале, обозначенные значком пера на верхней панели инструментов.\nНажмите [action:local:Inventory][action:permanent:Journal] и щелкните на мигающий значок пера — откроются записи в журнале.",Üstteki araç çubuğunda yer alan kalem simgesiyle gösterilen günlük ipuçlarını okuyarak oyunun nasıl oynandığını öğrenebilirsin.\nGünlük girdilerine erişmek için [action:local:Inventory][action:permanent:Journal] düğmesine bas ve yanıp sönen kalem simgesine tıkla.,你可以通过阅读顶部工具栏上的笔形图标所显示的日志提示来学习如何玩游戏。\n按住 [action:local:Inventory][action:permanent:Journal] 和单击闪光笔形图标访问日记条目。,你可以閱讀日誌提示瞭解遊戲的玩法，日誌提示位在頂部工具列以鉛筆圖示表示。\n按[action:local:Inventory][action:permanent:Journal]然後點閃爍的鉛筆圖示以存取日誌條目。
loadingTipJournalEntries_title,UI,Loading Screen,x,,Journal Entries,,Tagebucheinträge,Registros del diario,Entrées du journal,Voci diario,ジャーナル記録,일지 항목,Wpisy do dziennika,Registros do diário,Записи в журнале,Günlük Girdileri,日志条目,日誌條目
loadingTipKnownSchematics,UI,Loading Screen,x,,"If you have a perk book, crafting magazine, or mod schematic in your inventory, you can tell if you have already read it by looking at the small book symbol in the top left of the item's icon. If you have already read one, then it will show an open book symbol.",,"Wenn du Eigenschaftsbücher, Handwerkszeitschriften oder Mod-Baupläne in deinem Inventar hast, kannst du an dem kleinen Buchsymbol links oben auf den Gegenstandssymbolen erkennen, ob du sie bereits gelesen hast. Wenn du sie bereits gelesen hast, wird ein offenes Buchsymbol für sie angezeigt.","Si tienes un libro de beneficios, una revista de fabricación o un esquema de modificación en tu inventario, puedes saber si ya los has leído fijándote en el pequeño símbolo de libro en la esquina superior izquierda del ícono del objeto. Si ya lo has leído, aparecerá el símbolo de un libro abierto.","Si vous avez un livre d'avantages, un magazine de fabrication, ou un schéma de modification dans votre inventaire, vous pourrez savoir si vous l'avez déjà consulté en observant le petit symbole de livre en haut à gauche de l'icône de l'objet. Si vous l'avez déjà consulté, le symbole représentera alors un livre ouvert.","Se hai un libro di capacità, una rivista di creazione o uno schema di modifica nel tuo inventario, puoi sapere se li hai già letti dal simbolo di un libro in alto a sinistra dell'icona. Se ne hai già letto uno, allora apparirà il simbolo di un libro aperto.",所持品内に特殊技能の本かクラフト雑誌、改造パーツ設計図がある場合は、アイテムのアイコンの左上にある小さな本のシンボルをチェックすることで、これを既に読んだかどうか確認することができます。既読の場合、ここに開いた本のシンボルが表示されます。,"인벤토리에 능력 책, 제작 잡지, 모드 도면이 있는 경우, 아이템 아이콘 왼쪽 상단의 작은 책 심볼을 보면 이미 읽었는지 확인할 수 있습니다. 이미 읽은 책이 있으면 열려 있는 책 심볼이 표시됩니다.","Jeśli masz w ekwipunku związaną z profitem książkę, czasopismo o wytwarzaniu czy schemat modyfikacji, możesz się zorientować, czy jego treść nie jest ci już znana, sprawdzając mały symbol książki w lewym górnym rogu ikony przedmiotu. Jeśli znasz już dany materiał, symbol książki będzie otwarty.","Se você tiver um livro de vantagem, revista de fabricação ou um diagrama de modificação no inventário e quiser saber se já o leu ou não, basta conferir o pequeno símbolo de livro no canto superior esquerdo do ícone do item. Se já leu o item, aparecerá o símbolo de um livro aberto.","Если в вашем инвентаре есть книга умений, журнал по навыкам изготовления или схема модификации, то можно определить, ознакомились ли вы с ними. В верхнем левом углу значка есть маленький символ книги. Если вы уже ознакомились с источником знаний, то книга будет открытой.","Envanterinde bir avantaj kitabı, üretim dergisi veya mod şeması varsa öğe simgesinin sol üst köşesindeki küçük kitap sembolüne bakarak daha önce okuyup okumadığını anlayabilirsin. Daha önceden okudukların açık bir kitap sembolü ile gösterilir.",如果你的物品栏中有技能树、制作杂志或模组设计图，你可以通过查看物品图标左上角的小书符号来判断自己是否读过。如果你已经读过该物品，将显示一个打开的书本符号。,如果你物品欄內有專精書籍、製作雜誌或模組原理圖，可以透過物品圖示左上方的小書本符號知道自己是否已經讀過。如果你已經閱讀過該書籍，這裡就會顯示開啟的書本符號。
loadingTipKnownSchematics_title,UI,Loading Screen,x,,Known and unknown recipes,,Bekannte und unbekannte Rezepte,Recetas conocidas y desconocidas,Compositions connues et inconnues,Ricette conosciute e sconosciute,既知および未知のレシピ,알려진 또는 알려지지 않은 레시피,Znane i nieznane przepisy,Receitas conhecidas e desconhecidas,Известные и неизвестные рецепты,Bilinen ve bilinmeyen tarifler,已知和未知配方,已知和未知配方
loadingTipMagazines,UI,Loading Screen,x,,"Magazines are the key to increasing your crafting skills. They can be found in mailboxes, bookshelves, and many other related loot containers such as Shotgun Weekly in Shotgun Messiah Crates or Home Cooking Weekly in kitchen cabinets.",,"Zeitschriften sind der Schlüssel, um deine Fertigungs-Fertigkeiten zu verbessern. Sie können in Briefkästen, Bücherregalen und vielen anderen relevanten Beutebehältern gefunden werden. So kann z.B. die „Shotgun Weekly“ in Schrotflinten-Messias-Kisten oder die „Home Cooking Weekly“ in Küchenschränken stecken.","Las revistas son la clave para aumentar tus habilidades de fabricación. Se pueden encontrar en buzones, estanterías y muchos otros contenedores de botín relacionados, como el Semanario de escopetas en las cajas de Mesías Escopetero o Cocina casera semanal en los armarios de las cocinas.","Les magazines sont essentiels pour améliorer vos compétences en fabrication. Vous pouvez en trouver dans les boîtes aux lettres, sur des étagères, et dans divers dépôts de butin comme l'Hebdo des fusils à pompe dans les caisses Shotgun Messiah ou l'Hebdo des recettes dans les placards de cuisine.","Le riviste sono la chiave per aumentare le tue abilità di creazione. Puoi trovarle nelle cassette postali, negli scaffali e in molti altri contenitori di bottino correlati, come ad esempio il settimanale sui fucili nelle casse Il profeta del fucile o il settimanale sulla cucina casalinga nei mobili da cucina.",雑誌はクラフトスキルを向上させるのに重要です。これらは郵便受け、本棚、そして他の関連する略奪品コンテナで見つかります。例えば、Shotgun Messiahクレートで「週刊ショットガン」が、キッチンの棚で「週刊家庭料理」が見つかるといった具合です。,"잡지는 제작 기술을 향상시키는 열쇠입니다. 잡지는 우편함, 책장, 그리고 다양한 관련 약탈품 상자에서 샷건 메시아 상자의 주간 샷건이나 부엌 찬장의 주간 홈 쿠킹 같은 잡지를 찾을 수 있습니다.","Czasopisma to najlepszy sposób na ulepszenie umiejętności wytwarzania. Możesz je znaleźć w skrzynkach pocztowych, na półkach i wielu podobnych miejscach z łupami – na przykład tygodnik „Strzelby” znajdziesz w skrzyniach Mesjasza Strzelby, a „Kuchnię Domową” w szafkach kuchennych.","As revistas são a chave para aumentar suas habilidades de fabricação. Encontre-as em caixas de correio, estantes de livros e muitos locais de espólios relacionados, como a Espingarda Semanal em Caixotes Messias da Espingarda ou Comida Caseira Semanal em armários na cozinha.","Журналы крайне важны для совершенствования навыков изготовления. Журналы можно найти в почтовых ящиках, на книжных полках и других соответствующих контейнерах добычи: например, журнал «Еженедельная дробь» попадается в ящиках «Виртуоз дробовика», а «Еженедельник домашней готовки» можно найти в кухонных шкафчиках.","Dergiler üretim becerilerini artırmanın en iyi yoludur. Posta kutularında, kitaplıklarda ve Shotgun Messiah Sandıklarındaki Haftalık Pompalı Tüfek veya mutfak dolaplarındaki Evde Yemek Pişirme gibi diğer birçok ilgili ganimet kaplarında bulunabilirler.",杂志是提升制作技能的关键。你可以在邮箱、书架以及许多其他相关战利品容器中找到它们，比如霰弹枪救星箱中的《霰弹枪周刊》或是厨房橱柜中的《家庭烹饪周刊》。,雜誌是提升製作技能的關鍵。可以在郵箱、書架，以及許多相關戰利品容器中獲得 – 如散彈獵槍彌爾塞箱中出現《散彈獵槍週刊》，或在廚房櫥櫃中找到《家廚週刊》等。
loadingTipMagazines_title,UI,Loading Screen,x,,Crafting Skill Magazines,,Fertigungs-Fertigkeit-Zeitschriften,Revistas de habilidades de fabricación,Magazines sur les compétences en fabrication,Riviste di creazione,クラフトスキル雑誌,제작 스킬 잡지,Czasopisma o wytwarzaniu,Revistas de habilidade de fabricação,Журналы по навыкам изготовления,Üretim Becerisi Dergileri,制作技能杂志,製作技能雜誌
loadingTipMainHUD,UI,Loading Screen,x,,"On the HUD, Health and Stamina levels are shown as red and blue bars. Food and Water levels are shown as green and light blue bars. With any window open, you can click on any buff pop out on the left to hyperlink directly to that buff's status effect information window. Open the Character window with [action:local:Inventory][action:permanent:Character] to see other detailed player stats in the tabs below your character name.",,"Auf deinem HUD werden deine Gesundheits- und Ausdauerwerte als rote und blaue Balken angezeigt. Nahrungs- und Wasserwerte werden als grüne und hellblaue Balken angezeigt. Wenn du ein Fenster geöffnet hast, kannst du auf ein beliebiges Buff-Popup auf der linken Seite klicken, um direkt zum Info-Fenster für den jeweiligen Buff zu gelangen. Öffne das Charakter-Fenster mit [action:local:Inventory][action:permanent:Character], um andere detaillierte Spielerwerte in den Reitern unter deinem Charakternamen anzusehen.","En el HUD, tus niveles de salud y resistencia se muestran con una barra roja y una azul, respectivamente. Los niveles de comida y agua se muestran con una barra verde y una azul, respectivamente. Con cualquier ventana abierta, puedes hacer clic en cualquier potenciador que aparezca a la izquierda para ir directamente a la ventana con la información del efecto de estado correspondiente. Abre el menú de personaje con [action:local:Inventory][action:permanent:Character] para ver otras estadísticas detalladas del jugador en las pestañas situadas bajo el nombre de tu personaje.","Les barres rouge et bleue de l'ATH représentent la santé et l'endurance. Les niveaux de nourriture et d'eau sont représentés par les barres verte et bleu clair. Lorsqu'une fenêtre est ouverte, vous pouvez cliquer sur un bonus pour ouvrir directement la fenêtre d'informations de l'effet du bonus. Ouvrez la fenêtre de personnage avec [action:local:Inventory][action:permanent:Character] pour consulter vos stats détaillées de joueur dans l'onglet sous le nom de votre personnage.","I livelli di salute e vigore vengono mostrati come barre blu e rossa sul tuo HUD. I livelli di cibo e acqua vengono mostrati come barre verde e azzurra. Con qualsiasi finestra aperta, puoi cliccare su qualsiasi buff che compare a sinistra per creare un collegamento diretto alla finestra delle informazioni sull'effetto di stato di quel buff. Apri la schermata del tuo personaggio con [action:local:Inventory][action:permanent:Character] per vedere altre statistiche dettagliate del giocatore nelle schede sotto il nome del personaggio.",HUDでは体力とスタミナレベルは赤と青のゲージで表示されています。食料と水分レベルは緑と水色のゲージで表示されています。 ウィンドウを開いている状態で、左側に表示されるバフのアイコンをクリックすると、そのバフの状態効果の情報ウィンドウへ直接リンクすることができます。　[action:local:Inventory][action:permanent:Character] を押すとキャラクター画面が開き、プレイヤーステータスの詳細がプレイヤー名の下のタブに表示されます。,HUD에서 체력과 스태미너는 각각 붉은색과 파란색 막대로 표시됩니다. 음식과 물은 초록색과 하늘색 막대로 표시됩니다. 창이 열려 있으면 왼쪽에 팝업되는 버프 하이퍼링크를 클릭하여 버프의 상태 효과창으로 이동할 수 있습니다. [action:local:Inventory][action:permanent:Character]로 캐릭터 창을 열고 캐릭터 이름 아래 탭에서 다른 플레이어 능력치를 자세히 볼 수 있습니다.,"Na interfejsie HUD poziomy zdrowia i wytrzymałości są wyświetlane jako czerwony i niebieski pasek. Poziomy żywności i wody są wyświetlane jako zielony i jasnoniebieski pasek. Mając otwarte dowolne okno, możesz kliknąć dowolne oznaczenie premii po lewej, aby przenieść się bezpośrednio do okna z opisem efektu tej premii. Otwórz okno postaci za pomocą [action:local:Inventory][action:permanent:Character], aby zobaczyć inne szczegółowe statystyki w kartach poniżej imienia postaci.","Na interface de jogo, o nível de vida e vigor aparecem como uma barra vermelha e outra azul. Os níveis de água e comida são representados pelas barras verde e azul. Quando houver uma janela aberta, clique no balão de qualquer bônus à esquerda para ir diretamente à tela de informações de efeitos dele. Abra a janela de Personagem com [action:local:Inventory][action:permanent:Character] para ver outros atributos detalhados de jogador nas guias abaixo do nome do personagem.","На экранном интерфейсе игрока уровни здоровья и выносливости отображаются красной и синей шкалами. Уровни пищи и воды отображаются зеленой и светло-синей шкалами. Когда открыто любое окно, можно нажать на любой положительный эффект, отображаемый слева, чтобы перейти к окну с описанием действия этого эффекта. Откройте окно «Персонаж» с помощью «[action:local:Inventory][action:permanent:Character]» для просмотра других подробных параметров игрока во вкладках под именем вашего персонажа.","Baş Üstü Göstergesinde Sağlık ve Dayanıklılık seviyeleri, kırmızı ve mavi çubuklar ile gösterilir. Yiyecek ve Su seviyelerin, yeşil ve açık mavi çubuklar ile gösterilir. Herhangi bir pencere açıkken soldaki herhangi bir güçlendirme açılır penceresine tıklayarak o güçlendirmenin durum etkisi bilgi penceresine doğrudan gidebilirsin. [action:local:Inventory][action:permanent:Character] ile Karakter pencereni açarak karakterin adının altındaki sekmelerde diğer detaylı oyuncu istatistiklerini görebilirsin.",在 HUD 中，生命值和体力分别以红色条和蓝色条显示。下方的绿色条和浅蓝色条分别表示食物水平和水分水平。当打开任意窗口时，你可点击左侧弹出的任意增益来直接跳转到该增益的状态效果信息窗口。你可用 [action:local:Inventory][action:permanent:Character] 打开角色窗口来查看你角色名称下方选项卡内的其他详细玩家属性。,在 HUD 上，生命值和耐力值以紅色和藍色計量條顯示。飽足度和水分顯示為綠色和淺藍色計量條。當任何視窗開啟時，點擊左側彈出的狀態效果圖示，即可直接連結至該狀態效果的詳細資訊視窗。按下 [action:local:Inventory][action:permanent:Character] 開啟角色頁面，在角色名稱下方的標籤中檢視玩家屬性詳情。
loadingTipMainHUD_title,UI,Loading Screen,x,,Heads Up Display,,HUD-Anzeige,Pantalla de visualización frontal,Affichage tête haute,Schermata dei suggerimenti,ヘッドアップディスプレイ,HUD,Interfejs HUD,Interface de jogo,Экранный интерфейс игрока,Baş Üstü Göstergesi,抬头显示,抬頭顯示器
loadingTipPerkLootBoost,UI,Loading Screen,x,,"Investing points into a perk will increase the chances of finding related magazines, parts, and ammo for that perk when searching in qualifying loot containers.\nFor example, the Boomstick perk will increase the chances of finding Shotgun Weekly, shotgun parts, shotguns, and shotgun shells in Shotgun Messiah Crates, Gun Safes, or Weapon Bags.",,"Das Investieren von Punkten in eine Eigenschaft erhöht die Chancen, relevante Zeitschriften, Teile und Munition für diese Eigenschaft beim Durchsuchen von qualifizierten Beutebehältern zu finden.\nZum Beispiel erhöht die Eigenschaft „Donnerbüchse“ die Chancen, „Shotgun Weekly“-Zeitschriften, Schrotflintenteile, Schrotflinten und Schrotflinten-Patronen in Schrotflinten-Messias-Kisten, Waffenschränken oder Waffentaschen zu finden.","Invertir puntos en un beneficio aumentará las posibilidades de encontrar revistas, partes y munición relacionados con ese beneficio al buscar en contenedores de botín válidos.\nPor ejemplo, el beneficio Palo explosivo aumentará las posibilidades de encontrar el Semanario de escopetas, partes de escopeta, escopetas y cartuchos de escopeta en cajas de Mesías Escopetero, armeros o bolsas de armas.","Investir des points dans un avantage augmentera vos chances de trouver des magazines, des pièces et des munitions propres à cet avantage en fouillant des dépôts de butin appropriés.\nPar exemple, l'avantage Baguette magique augmentera vos chances de trouver l'Hebdo des fusils à pompe, des pièces de fusil à pompe, des fusils à pompe et des cartouches de fusil à pompe dans les caisses Shotgun Messiah, les armoires à fusils ou les sacs d'armes.","Investire punti in una capacità aumenterà le probabilità di trovare riviste, parti e munizioni correlate a quella capacità durante la ricerca in contenitori di bottino idonei.\nAd esempio, la capacità ""Bastone di tuono"" aumenta le probabilità di trovare riviste settimanali sui fucili, sulle parti di fucili a pompa, sui fucili a pompa e sulle munizioni per gli stessi, nelle casse Il profeta del fucile, nelle casseforti per armi o nelle borse per armi.",ポイントを特殊技能に投資すると、条件を満たす略奪品コンテナの中を探す際に、その特殊技能に関連する雑誌、パーツ、弾薬が見つかる確率が上がります。\n例えば、ブームスティックの特殊技能に投資すれば、Shotgun Messiahクレート、ガンロッカー、武器バッグで、 「週刊ショットガン」、ショットガンのパーツ、ショットガン、ショットガン用シェルが見つかる確率が上がります。,"능력에 포인트를 투자하면 해당 약탈품 상자에서 검색할 때 해당 능력과 관련된 잡지, 부품, 탄약을 찾을 확률이 높아집니다.\n예를 들어, 붐스틱 능력은 샷건 메시아 상자, 총 금고 또는 무기 가방에서 주간 샷건, 샷건 부품, 샷건, 샷건 탄피를 찾을 확률을 높입니다.","Inwestowanie punktów w profit zwiększy szanse znalezienia powiązanych z nim czasopism, części i amunicji podczas przeszukiwania odpowiednich miejsc.\nNa przykład, profit „pukawka” zwiększy szanse na znalezienie tygodnia „Strzelby”, części strzelb, a także samych strzelb i naboi do nich w skrzynkach Mesjasza Strzelby, sejfach ba broń oraz torbach na broń.","Investir pontos numa vantagem aumente as chances de encontrar revistas relacionadas, peças e munição para aquela vantagem ao buscar em recipientes de espólios qualificadores.\nPor exemplo, a vantagem Espingardeiro aumente as chances de encontrar a Espingarda Semanal, peças de espingarda, espingardas e cartuchos de espingarda em Caixotes Messias da Espingarda, cofres de armas ou bolsas de armas.","Вкладывайте очки в умение, чтобы повысить шансы найти связанные с ним журналы, запчасти и боеприпасы при поиске в соответствующих контейнерах добычи.\nНапример, развитие умения «Бум-палка» повышает шанс найти журналы «Еженедельная дробь», части дробовика, дробовики и патроны для дробовика в ящиках «Виртуоз дробовика», оружейных сейфах или сумках с оружием.","Bir avantaja puan yatırmak, uygun ganimet kaplarında arama yaparken o avantaj ile ilgili şarjörleri, parçaları ve cephaneyi bulma şansını artıracaktır.\nÖrneğin, Kesik Namlu avantajı Shotgun Messiah Sandıklarından, Silah Kasalarından veya Silah Çantalarından Haftalık Pompalı Tüfek, pompalı tüfek parçası, pompalı tüfek ve pompalı tüfek mermisi bulma şansını artırır.",向一项技能投资点数，就能够在搜寻符合条件的战利品容器时提高找到与该技能相关的杂志、零件和弹药的几率。\n例如，“喷子”技能会提高在霰弹枪救星箱、枪支保险柜或武器包中找到《霰弹枪周刊》、霰弹枪零件、霰弹枪和霰弹枪弹药的几率。,向專精投入點數將會提升在合適戰利品容器發現該專精相關雜誌、零件和彈藥的機率。\n例如，升級「移動靶射擊」技能會增加在散彈獵槍彌爾塞箱子、槍械保險櫃或武器包找到《散彈獵槍週刊》、散彈獵槍部件、散彈獵槍及其子彈的機率。
loadingTipPerkLootBoost_title,UI,Loading Screen,x,,Perk Loot Boost,,Eigenschaftsbeutebonus,Beneficio Mejora de botín,Amélioration de butin via avantage,Potenziamento del bottino correlato alle capacità,特殊技能略奪品ブースト,능력 약탈품 부스트,Premia do łupów z profitów,Reforço de espólios de vantagem,Усиление добычи для умения,Ganimet Artışı Avantajı,技能战利品提升,專精戰利品提升
